borough,category_name,grad_percent,advanced_regents_grads_percent,dropout_count,dropout_percent,cohort_year,year,cohort_name,grade,academic_year_id,attendance_percent,chronically_absent_count,regents_exam,total_tested,mean_score,number_scoring_below_60,percent_scoring_below_60,number_scoring_above_80,percent_scoring_above_80
Brooklyn,Female,84.2,24.8,965,9.8,2012,2018,6 year June,10,2018-19,88.1,3269,Common Core Algebra,74,56.0,52,70.3,2,2.7
Brooklyn,Male,79.5,28.1,649,6.2,2019,2023,4 year August,10,2023-24,86.4,4331,Common Core Algebra,10,62.0,3,30.0,0,0.0
Brooklyn,Male,79.4,37.9,696,6.6,2018,2022,4 year August,10,2022-23,85.7,4515,Common Core Algebra,14,53.4,13,92.9,0,0.0
Brooklyn,Male,77.3,39.0,558,5.2,2017,2021,4 year August,10,2021-22,83.3,5143,Common Core English,7,73.7,1,14.3,2,28.6
Brooklyn,Male,74.5,33.4,743,6.9,2016,2020,4 year August,10,2020-21,80.8,5198,Common Core Algebra,18,55.3,14,77.8,0,0.0
Brooklyn,Male,72.5,24.7,898,8.3,2015,2019,4 year August,10,2019-20,87.3,3890,Common Core Algebra,27,57.7,16,59.3,1,3.7
Brooklyn,Male,72.5,24.4,873,8.0,2014,2018,4 year August,10,2018-19,86.7,4136,Common Core Algebra,42,55.9,33,78.6,2,4.8
Brooklyn,Male,69.5,25.1,941,8.8,2013,2017,4 year August,9,2017-18,83.9,4047,Common Core Algebra,54,58.9,35,64.8,1,1.9
Brooklyn,Male,68.0,23.7,986,9.0,2012,2016,4 year August,9,2016-17,85.1,3849,Common Core Algebra,50,60.8,29,58.0,0,0.0
Brooklyn,Male,75.9,29.2,657,6.3,2019,2023,4 year June,10,2023-24,86.4,4331,Common Core Algebra,10,62.0,3,30.0,0,0.0
Brooklyn,Male,76.1,39.0,703,6.7,2018,2022,4 year June,10,2022-23,85.7,4515,Common Core Algebra,14,53.4,13,92.9,0,0.0
Brooklyn,Male,73.5,40.6,566,5.3,2017,2021,4 year June,10,2021-22,83.3,5143,Common Core English,7,73.7,1,14.3,2,28.6
Brooklyn,Male,71.6,34.5,746,7.0,2016,2020,4 year June,10,2020-21,80.8,5198,Common Core Algebra,18,55.3,14,77.8,0,0.0
Brooklyn,Male,68.2,25.9,906,8.4,2015,2019,4 year June,10,2019-20,87.3,3890,Common Core Algebra,27,57.7,16,59.3,1,3.7
Brooklyn,Male,68.1,25.7,873,8.0,2014,2018,4 year June,10,2018-19,86.7,4136,Common Core Algebra,42,55.9,33,78.6,2,4.8
Brooklyn,Male,65.3,26.5,941,8.8,2013,2017,4 year June,9,2017-18,83.9,4047,Common Core Algebra,54,58.9,35,64.8,1,1.9
Brooklyn,Male,64.1,25.0,986,9.0,2012,2016,4 year June,9,2016-17,85.1,3849,Common Core Algebra,50,60.8,29,58.0,0,0.0
Brooklyn,Male,83.6,36.4,982,9.4,2018,2023,5 year August,10,2023-24,86.4,4331,Common Core Algebra,10,62.0,3,30.0,0,0.0
Brooklyn,Male,82.7,37.3,954,9.0,2017,2022,5 year August,10,2022-23,85.7,4515,Common Core Algebra,14,53.4,13,92.9,0,0.0
Brooklyn,Male,79.8,31.6,1082,10.1,2016,2021,5 year August,10,2021-22,83.3,5143,Common Core English,7,73.7,1,14.3,2,28.6
Brooklyn,Male,78.9,22.9,1191,11.1,2015,2020,5 year August,10,2020-21,80.8,5198,Common Core Algebra,18,55.3,14,77.8,0,0.0
Brooklyn,Male,77.5,22.9,1444,13.3,2014,2019,5 year August,10,2019-20,87.3,3890,Common Core Algebra,27,57.7,16,59.3,1,3.7
Brooklyn,Male,75.6,23.4,1349,12.8,2013,2018,5 year August,10,2018-19,86.7,4136,Common Core Algebra,42,55.9,33,78.6,2,4.8
Brooklyn,Male,74.2,21.9,1431,13.1,2012,2017,5 year August,9,2017-18,83.9,4047,Common Core Algebra,54,58.9,35,64.8,1,1.9
Brooklyn,Male,82.9,36.6,994,9.5,2018,2023,5 year June,10,2023-24,86.4,4331,Common Core Algebra,10,62.0,3,30.0,0,0.0
Brooklyn,Male,82.2,37.6,967,9.2,2017,2022,5 year June,10,2022-23,85.7,4515,Common Core Algebra,14,53.4,13,92.9,0,0.0
Brooklyn,Male,79.0,31.9,1091,10.2,2016,2021,5 year June,10,2021-22,83.3,5143,Common Core English,7,73.7,1,14.3,2,28.6
Brooklyn,Male,78.1,23.1,1215,11.3,2015,2020,5 year June,10,2020-21,80.8,5198,Common Core Algebra,18,55.3,14,77.8,0,0.0
Brooklyn,Male,76.7,23.1,1468,13.5,2014,2019,5 year June,10,2019-20,87.3,3890,Common Core Algebra,27,57.7,16,59.3,1,3.7
Brooklyn,Male,74.9,23.6,1352,12.8,2013,2018,5 year June,10,2018-19,86.7,4136,Common Core Algebra,42,55.9,33,78.6,2,4.8
Brooklyn,Male,73.3,22.2,1433,13.1,2012,2017,5 year June,9,2017-18,83.9,4047,Common Core Algebra,54,58.9,35,64.8,1,1.9
Brooklyn,Male,83.9,36.9,1112,10.6,2017,2023,6 year June,10,2023-24,86.4,4331,Common Core Algebra,10,62.0,3,30.0,0,0.0
Brooklyn,Male,81.7,31.0,1291,12.1,2016,2022,6 year June,10,2022-23,85.7,4515,Common Core Algebra,14,53.4,13,92.9,0,0.0
Brooklyn,Male,80.8,22.5,1279,11.9,2015,2021,6 year June,10,2021-22,83.3,5143,Common Core English,7,73.7,1,14.3,2,28.6
Brooklyn,Male,80.0,22.3,1447,13.3,2014,2020,6 year June,10,2020-21,80.8,5198,Common Core Algebra,18,55.3,14,77.8,0,0.0
Brooklyn,Male,77.7,22.7,1536,14.5,2013,2019,6 year June,10,2019-20,87.3,3890,Common Core Algebra,27,57.7,16,59.3,1,3.7
